Species,Length,Estimated weight
,,
,,
,,
Haddock(HADD),31,0.6372
,,
Haddock(HADD),,1.3
Haddock(HADD),35,0.9256
Haddock(HADD),34,0.8467
Haddock(HADD),32,0.7026
Haddock(HADD),32,0.7026
Haddock(HADD),32,0.7026
,,
American Plaice(FLDAB),31,0.546
,,
Witch Flounder(FLGS),36,0.6093
American Plaice(FLDAB),28,0.39
,,
Witch Flounder(FLGS),34,0.5038
,,
,,
,,
American Plaice(FLDAB),30,0.4899
Witch Flounder(FLGS),32,0.4117
Witch Flounder(FLGS),35,0.5548
Witch Flounder(FLGS),30,0.3321
American Plaice(FLDAB),28,0.39
Witch Flounder(FLGS),35,0.5548
Witch Flounder(FLGS),31,0.3704
Witch Flounder(FLGS),31,0.3704
Witch Flounder(FLGS),28,0.264
Witch Flounder(FLGS),35,0.5548
Witch Flounder(FLGS),31,0.3704
American Plaice(FLDAB),32,0.4117
Witch Flounder(FLGS),32,0.4117
American Plaice(FLDAB),32,0.4117
Witch Flounder(FLGS),36,0.8951
Witch Flounder(FLGS),31,0.3704
Witch Flounder(FLGS),31,0.3704
Witch Flounder(FLGS),36,0.6093
Witch Flounder(FLGS),33,0.4561
Witch Flounder(FLGS),33,0.4561
Witch Flounder(FLGS),33,0.4561
Witch Flounder(FLGS),35,0.5548
Witch Flounder(FLGS),36,0.6093
Witch Flounder(FLGS),30,0.3321
Witch Flounder(FLGS),32,0.4117
American Plaice(FLDAB),30,0.3321
Witch Flounder(FLGS),35,0.5548
American Plaice(FLDAB),31,0.3704
Witch Flounder(FLGS),31,0.3704
Witch Flounder(FLGS),34,0.5038
Witch Flounder(FLGS),30,0.3321
Witch Flounder(FLGS),29,0.2967
Witch Flounder(FLGS),31,0.3704
Witch Flounder(FLGS),29,0.2967
,,
Witch Flounder(FLGS),,0.5
American Plaice(FLDAB),32,0.6064
Witch Flounder(FLGS),32,0.4117
Witch Flounder(FLGS),33,0.4561
Witch Flounder(FLGS),36,0.6093
Witch Flounder(FLGS),32,0.4117
Witch Flounder(FLGS),32,0.4117
,,
Witch Flounder(FLGS),,0.5
American Plaice(FLDAB),34,0.5038
Witch Flounder(FLGS),32,0.4117
American Plaice(FLDAB),31,0.546
Witch Flounder(FLGS),35,0.5548
American Plaice(FLDAB),27,0.3458
Witch Flounder(FLGS),33,0.4561
Witch Flounder(FLGS),30,0.3321
Witch Flounder(FLGS),32,0.4117
American Plaice(FLDAB),31,0.546
Witch Flounder(FLGS),30,0.3321
Witch Flounder(FLGS),36,0.6093
Witch Flounder(FLGS),30,0.3321
Witch Flounder(FLGS),32,0.4117
Witch Flounder(FLGS),29,0.2967
American Plaice(FLDAB),35,0.8155
American Plaice(FLDAB),29,0.4379
Witch Flounder(FLGS),35,0.5548
Witch Flounder(FLGS),33,0.4561
Witch Flounder(FLGS),34,0.5038
Witch Flounder(FLGS),35,0.5548
American Plaice(FLDAB),32,0.6064
American Plaice(FLDAB),30,0.4899
Witch Flounder(FLGS),32,0.4117
Witch Flounder(FLGS),30,0.3321
Witch Flounder(FLGS),32,0.4117
American Plaice(FLDAB),23,0.2035
Witch Flounder(FLGS),31,0.3704
Witch Flounder(FLGS),26,0.2062
Witch Flounder(FLGS),26,0.2062
Witch Flounder(FLGS),34,0.5038
,,
,,
American Plaice(FLDAB),29,0.4379
,,
American Plaice(FLDAB),25,0.2681
,,
,,
American Plaice(FLDAB),31,0.546
Witch Flounder(FLGS),31,0.3704
,,
Witch Flounder(FLGS),33,0.4561
,,
,,
American Plaice(FLDAB),35,0.8155
Witch Flounder(FLGS),34,0.5038
American Plaice(FLDAB),28,0.39
Witch Flounder(FLGS),34,0.5038
American Plaice(FLDAB),31,0.546
American Plaice(FLDAB),31,0.546
American Plaice(FLDAB),32,0.6064
Witch Flounder(FLGS),31,0.3704
American Plaice(FLDAB),31,0.546
American Plaice(FLDAB),34,0.741
American Plaice(FLDAB),28,0.39
Witch Flounder(FLGS),34,0.5038
American Plaice(FLDAB),31,0.546
American Plaice(FLDAB),33,0.6713
American Plaice(FLDAB),35,0.8155
American Plaice(FLDAB),,0.7
,,
American Plaice(FLDAB),31,0.546
American Plaice(FLDAB),32,0.6064
Witch Flounder(FLGS),34,0.5038
Witch Flounder(FLGS),36,0.6093
American Plaice(FLDAB),34,0.741
American Plaice(FLDAB),34,0.741
Witch Flounder(FLGS),32,0.4117
American Plaice(FLDAB),24,0.2343
American Plaice(FLDAB),25,0.2681
,,
,,
,,
American Plaice(FLDAB),30,0.4899
,,
American Plaice(FLDAB),31,0.546
,,
American Plaice(FLDAB),35,0.8155
,,
Witch Flounder(FLGS),36,0.6093
,,
American Plaice(FLDAB),35,0.8155
,,
American Plaice(FLDAB),30,0.4899
Witch Flounder(FLGS),36,0.6093
American Plaice(American plaice),27,0.3458
Witch Flounder(FLGS),36,0.6093
,,
Witch Flounder(FLGS),34,0.5038
,,
American Plaice(FLDAB),35,0.8155
,,
,,
American Plaice(FLDAB),31,0.546
,,
Witch Flounder(FLGS),33,0.6713
,,
Witch Flounder(FLGS),31,0.3704
Witch Flounder(FLGS),32,0.4117
,,
American Plaice(FLDAB),28,0.39
Witch Flounder(FLGS),32,0.4117
Witch Flounder(FLGS),31,0.3704
Witch Flounder(FLGS),32,0.4117
Witch Flounder(FLGS),29,0.2967
American Plaice(FLDAB),31,0.3704
American Plaice(FLDAB),35,0.8155
Witch Flounder(FLGS),34,0.5038
Witch Flounder(FLGS),34,0.5038
Witch Flounder(FLGS),34,0.5038
American Plaice(FLDAB),30,0.4899
American Plaice(FLDAB),33,0.6713
Witch Flounder(FLGS),33,0.4561
Witch Flounder(FLGS),35,0.5548
American Plaice(FLDAB),30,0.4899
American Plaice(FLDAB),27,0.3458
Witch Flounder(FLGS),30,0.3321
American Plaice(FLDAB),27,0.3458
American Plaice(FLDAB),28,0.39
